"workid","authorid"
"OL4655322W","OL956918A"
"OL4906235W","OL1050717A"
"OL4956559W","OL1069415A"
"OL5262992W","OL1190115A"
"OL7016757W","OL1964132A"
"OL9466389W","OL2067978A"
"OL12981363W","OL5898832A"
"OL13759839W","OL6601727A"
"OL15498413W","OL6854808A"
"OL16902814W","OL7196403A"
"OL16946410W","OL7199870A"
"OL16946515W","OL7205412A"
"OL17503841W","OL7333118A"
"OL1886249W","OL225818A"
"OL2410551W","OL331269A"
"OL4106171W","OL769811A"
"OL5091010W","OL1120365A"
"OL5895111W","OL1454411A"
"OL6860758W","OL1884370A"
"OL8021661W","OL2670891A"
"OL8021661W","OL5367253A"
"OL9384912W","OL3421237A"
"OL10292163W","OL4250361A"
"OL11674643W","OL4941237A"
"OL12250691W","OL5347280A"
"OL12350414W","OL5423035A"
"OL13773441W","OL6614823A"
"OL15840387W","OL601488A"
"OL16368044W","OL3977391A"
"OL16942961W","OL2817496A"
"OL1703013W","OL194035A"
"OL2248889W","OL291739A"
"OL3936336W","OL717271A"
"OL5107712W","OL1125105A"
"OL5187640W","OL1156969A"
"OL7015992W","OL1963807A"
"OL8322611W","OL2765887A"
"OL8361117W","OL2783730A"
"OL8856046W","OL3039511A"
"OL9034692W","OL3152699A"
"OL9089638W","OL3190294A"
"OL10080741W","OL4062175A"
"OL11735903W","OL4985472A"
"OL11744095W","OL4991424A"
"OL13150533W","OL6049533A"
"OL13243349W","OL6148632A"
"OL13662740W","OL6518439A"
"OL15628946W","OL6780596A"
"OL15938029W","OL6942332A"
"OL16615361W","OL7117818A"
"OL16949817W","OL629361A"
"OL16961190W","OL1572688A"
"OL1697250W","OL193060A"
"OL4006783W","OL738640A"
"OL61210W","OL23480A"
"OL7834158W","OL2493859A"
"OL8105947W","OL2700759A"
"OL11022077W","OL4589215A"
"OL12286841W","OL5374638A"
"OL13208792W","OL6117747A"
"OL13650810W","OL6506692A"
"OL16946035W","OL4019309A"
"OL16963179W","OL7202650A"
"OL1957265W","OL458253A"
"OL3480079W","OL580404A"
"OL4299942W","OL835268A"
"OL4742996W","OL989184A"
"OL5836137W","OL1430914A"
"OL8132023W","OL2709223A"
"OL8672376W","OL2927829A"
"OL9183527W","OL235164A"
"OL9400693W","OL3436633A"
"OL12534723W","OL5559293A"
"OL12975089W","OL5894373A"
"OL15483318W","OL6850735A"
"OL16062240W","OL29353A"
"OL16179100W","OL7013036A"
"OL16360148W","OL7051675A"
"OL16838409W","OL148215A"
"OL16934235W","OL401127A"
"OL16941910W","OL7204337A"
"OL16942731W","OL7204349A"
"OL16943772W","OL7204768A"
"OL16964586W","OL7208825A"
"OL16972329W","OL7210240A"
"OL17553736W","OL2682756A"
"OL2677543W","OL390736A"
"OL2685865W","OL392271A"
"OL3945937W","OL719537A"
"OL4105448W","OL769629A"
"OL6538136W","OL1747151A"
"OL7938551W","OL2646532A"
"OL8360717W","OL2783436A"
"OL8688316W","OL2938022A"
"OL8701204W","OL2945482A"
"OL9190748W","OL3257998A"
"OL9870622W","OL3853683A"
"OL10080751W","OL4062183A"
"OL11585596W","OL4887139A"
"OL11671217W","OL4938274A"
"OL11672447W","OL4939317A"
"OL11724911W","OL4977086A"
"OL16933143W","OL7202753A"
"OL17865946W","OL1709811A"
"OL1921716W","OL230340A"
"OL4106938W","OL769995A"
"OL4235748W","OL812583A"
"OL4700974W","OL973261A"
"OL4982985W","OL1077090A"
"OL5058038W","OL1105884A"
"OL5420154W","OL1268295A"
"OL8230893W","OL2739854A"
"OL9210061W","OL3273529A"
"OL9682376W","OL3676223A"
"OL11170098W","OL4664184A"
"OL11303043W","OL4744936A"
"OL11959990W","OL5146464A"
"OL12562454W","OL5580277A"
"OL13007116W","OL5919792A"
"OL13651922W","OL6507890A"
"OL15017054W","OL1458877A"
"OL15483125W","OL6850700A"
"OL16025500W","OL558004A"
"OL163029W","OL2006108A"
"OL16531432W","OL7087286A"
"OL16606879W","OL398121A"
"OL16641052W","OL5649445A"
"OL16641052W","OL2461687A"
"OL16686769W","OL7145269A"
"OL16924430W","OL7201212A"
"OL16945527W","OL3342856A"
"OL16969165W","OL7209677A"
"OL4227876W","OL809686A"
"OL4352361W","OL853177A"
"OL4787608W","OL1006852A"
"OL769700W","OL63486A"
"OL7941863W","OL2648378A"
"OL8926478W","OL3083908A"
"OL12230813W","OL5330102A"
"OL12345656W","OL5419504A"
"OL12537839W","OL5561687A"
"OL13263272W","OL6166657A"
"OL13588371W","OL6448684A"
"OL15418924W","OL6833930A"
"OL16634336W","OL7124962A"
"OL16929652W","OL6751004A"
"OL2382741W","OL325172A"
"OL2977848W","OL455593A"
"OL4243655W","OL815419A"
"OL4847154W","OL1027929A"
"OL5744740W","OL1397188A"
"OL7203397W","OL2068694A"
"OL8087330W","OL2692347A"
"OL8131145W","OL2708408A"
"OL9037156W","OL3154623A"
"OL12608127W","OL5614767A"
"OL13501883W","OL6371493A"
"OL13597848W","OL6457662A"
"OL15424331W","OL222306A"
"OL15596618W","OL220993A"
"OL16539971W","OL7089753A"
"OL16662505W","OL7135276A"
"OL16686756W","OL7145257A"
"OL16940625W","OL946916A"
"OL16943776W","OL7204769A"
"OL16953175W","OL5518747A"
"OL17548422W","OL7345308A"
"OL17647462W","OL20934A"
"OL17832639W","OL244450A"
"OL3475788W","OL579471A"
"OL4216917W","OL805610A"
"OL4644815W","OL954120A"
"OL7331688W","OL2162047A"
"OL735790W","OL59627A"
"OL8498089W","OL2840143A"
"OL9390636W","OL2662609A"
"OL11170431W","OL4664356A"
"OL11537467W","OL4855053A"
"OL11809173W","OL5037316A"
"OL12277609W","OL5367116A"
"OL13069029W","OL5972948A"
"OL13394639W","OL6284525A"
"OL15187033W","OL6516194A"
"OL15977067W","OL1437216A"
"OL16926031W","OL7201388A"
"OL2634248W","OL383825A"
"OL2728866W","OL399591A"
"OL2748060W","OL403180A"
"OL2772388W","OL408150A"
"OL2982569W","OL456533A"
"OL3066587W","OL477082A"
"OL3514398W","OL588096A"
"OL3926467W","OL715214A"
"OL4627435W","OL949656A"
"OL6341654W","OL1658959A"
"OL6440223W","OL1707237A"
"OL9039602W","OL3156331A"
"OL12055657W","OL5211810A"
"OL12332299W","OL5409491A"
"OL13574948W","OL6436685A"
"OL15060171W","OL24631A"
"OL15615865W","OL6881072A"
"OL16926151W","OL7201406A"
"OL16942315W","OL7204440A"
"OL16943907W","OL7204804A"
"OL16961503W","OL7208157A"
"OL3138896W","OL497492A"
"OL3925160W","OL714999A"
"OL4115692W","OL772166A"
"OL4465780W","OL890399A"
"OL4810854W","OL1013486A"
"OL5209640W","OL1165924A"
"OL6185291W","OL1591131A"
"OL8856078W","OL3039547A"
"OL8905653W","OL3070132A"
"OL9620528W","OL3617647A"
"OL11877589W","OL5086644A"
"OL12811487W","OL5766202A"
"OL15625063W","OL6778296A"
"OL15855480W","OL6836290A"
"OL15855480W","OL459900A"
"OL17006235W","OL7217147A"
"OL17561103W","OL7348600A"
"OL17581215W","OL6475664A"
"OL2664229W","OL388572A"
"OL2935675W","OL447573A"
"OL3571173W","OL602410A"
"OL4075861W","OL762818A"
"OL4314069W","OL839120A"
"OL4467466W","OL890817A"
"OL4634950W","OL951456A"
"OL5728038W","OL1392769A"
"OL6244223W","OL1620973A"
"OL7109615W","OL2015601A"
"OL735836W","OL59627A"
"OL8383582W","OL2793517A"
"OL9214724W","OL3277473A"
"OL9619503W","OL3616631A"
"OL11775710W","OL5013902A"
"OL13593765W","OL6453822A"
"OL15520934W","OL3756637A"
"OL16042574W","OL1458877A"
"OL16455075W","OL7064115A"
"OL16641072W","OL3594613A"
"OL16920195W","OL541899A"
"OL17977640W","OL239833A"
"OL1830231W","OL219254A"
"OL2425766W","OL334383A"
"OL2720302W","OL398121A"
"OL3153383W","OL501915A"
"OL4150284W","OL781876A"
"OL4636560W","OL951908A"
"OL5962169W","OL1479653A"
"OL611283W","OL47148A"
"OL6185288W","OL1591131A"
"OL6924047W","OL1917712A"
"OL7276776W","OL2129120A"
"OL9868065W","OL3851076A"
"OL11547932W","OL4861761A"
"OL11670874W","OL4938011A"
"OL13574086W","OL6435872A"
"OL13626549W","OL6483708A"
"OL16935541W","OL4174456A"
"OL16969522W","OL7209757A"
"OL17379120W","OL3090949A"
"OL2905205W","OL442577A"
"OL3742423W","OL656870A"
"OL3990884W","OL733276A"
"OL4134737W","OL777055A"
"OL4489907W","OL896684A"
"OL4620016W","OL947566A"
"OL4969869W","OL1073050A"
"OL5099756W","OL1122786A"
"OL5840224W","OL1432279A"
"OL7755801W","OL2422696A"
"OL7755801W","OL407212A"
"OL8061651W","OL2684873A"
"OL8149416W","OL2716975A"
"OL862839W","OL75172A"
"OL8643086W","OL2912979A"
"OL9359384W","OL3401431A"
"OL10781848W","OL4505386A"
"OL12639851W","OL5636721A"
"OL13335192W","OL6230921A"
"OL15595918W","OL3098211A"
"OL16931199W","OL7202429A"
"OL16940748W","OL7051308A"
"OL3230790W","OL526278A"
"OL3490596W","OL582781A"
"OL3531158W","OL591780A"
"OL4049823W","OL753847A"
"OL4114633W","OL771868A"
"OL6891396W","OL1902883A"
"OL11845900W","OL5062067A"
"OL12438895W","OL5489327A"
"OL13286901W","OL6187725A"
"OL15625041W","OL6854808A"
"OL16729140W","OL7160426A"
"OL16930764W","OL7202338A"
"OL16941904W","OL7204335A"
"OL16957356W","OL3154317A"
"OL2945531W","OL449310A"
"OL3526869W","OL590794A"
"OL4240643W","OL814492A"
"OL4442579W","OL884104A"
"OL4957646W","OL1069781A"
"OL8613108W","OL2895492A"
"OL9676566W","OL3671290A"
"OL11061642W","OL4613334A"
"OL11166914W","OL4662471A"
"OL11262627W","OL1233061A"
"OL12772107W","OL5735884A"
"OL12996486W","OL5911220A"
"OL16662512W","OL7135280A"
"OL16943145W","OL7204635A"
"OL16944104W","OL7204849A"
"OL16945561W","OL411057A"
"OL2262642W","OL294673A"
"OL2640893W","OL384854A"
"OL4116440W","OL772341A"
"OL4723626W","OL981761A"
"OL4787695W","OL1006887A"
"OL8056559W","OL2681337A"
"OL9882955W","OL3865374A"
"OL11553007W","OL4864910A"
"OL11950419W","OL5139034A"
"OL12434444W","OL5486073A"
"OL13590798W","OL6451034A"
"OL16661314W","OL3185928A"
"OL16661314W","OL7134794A"
"OL16661314W","OL7033945A"
"OL16945894W","OL3178904A"
"OL17560397W","OL7348416A"
"OL17900900W","OL2642535A"
"OL2024373W","OL244450A"
"OL3289779W","OL537859A"
"OL3484020W","OL581346A"
"OL4052749W","OL754956A"
"OL4213371W","OL804305A"
"OL4583128W","OL931389A"
"OL4621338W","OL947918A"
"OL4970449W","OL1073201A"
"OL4976061W","OL1074937A"
"OL8056561W","OL2681337A"
"OL8131143W","OL2708408A"
"OL8674152W","OL2929134A"
"OL9402349W","OL3437839A"
"OL11735271W","OL4985010A"
"OL12337865W","OL5413524A"
"OL13581711W","OL6442732A"
"OL14924436W","OL23438A"
"OL16001722W","OL6960850A"
"OL16001722W","OL7011539A"
"OL16001722W","OL7011540A"
"OL16441292W","OL447252A"
"OL16941967W","OL7204351A"
"OL16946324W","OL7205364A"
"OL16951386W","OL401127A"
"OL16987815W","OL7200674A"
"OL17429471W","OL7311526A"
"OL2247601W","OL291445A"
"OL2648284W","OL386088A"
"OL3256822W","OL530649A"
"OL4473466W","OL892275A"
"OL5126444W","OL1130962A"
"OL85814W","OL31701A"
"OL90485W","OL24072A"
"OL11202244W","OL4682835A"
"OL12337543W","OL5413294A"
"OL13071884W","OL5975491A"
"OL13502665W","OL6372167A"
"OL13554482W","OL6418520A"
"OL15518435W","OL6792559A"
"OL16645422W","OL7129149A"
"OL16941135W","OL7204168A"
"OL16943663W","OL3872515A"
"OL16953055W","OL7206686A"
"OL17505628W","OL7333612A"
"OL2660838W","OL388066A"
"OL3274566W","OL534434A"
"OL4447895W","OL885486A"
"OL4969764W","OL1073013A"
"OL5420152W","OL1268293A"
"OL5425151W","OL1271956A"
"OL7637439W","OL2344059A"
"OL8961049W","OL3107655A"
"OL9822604W","OL3806929A"
"OL10966308W","OL4556645A"
"OL12274858W","OL5365055A"
"OL12276672W","OL5366389A"
"OL12294658W","OL5380725A"
"OL12350330W","OL5422963A"
"OL15997921W","OL3974846A"
"OL16341350W","OL1310009A"
"OL16827009W","OL1901938A"
"OL16943084W","OL7204621A"
"OL16961127W","OL7208096A"
"OL16983471W","OL7212484A"
"OL17585780W","OL7356886A"
"OL2073794W","OL254096A"
"OL2711557W","OL396602A"
"OL3340778W","OL541699A"
"OL3790586W","OL670401A"
"OL4817901W","OL1015998A"
"OL9321001W","OL440500A"
"OL9321001W","OL772166A"
"OL12339868W","OL5415074A"
"OL12608144W","OL5614784A"
"OL13354491W","OL6248212A"
"OL13464750W","OL6344316A"
"OL15596246W","OL544523A"
"OL16690619W","OL30873A"
"OL16884652W","OL1075484A"
"OL16955222W","OL7202320A"
"OL17775339W","OL3177544A"
"OL17775339W","OL3177545A"
"OL17775339W","OL3177546A"
"OL1894140W","OL226731A"
"OL2917884W","OL444435A"
"OL3370974W","OL548844A"
"OL4304808W","OL836610A"
"OL4450703W","OL886362A"
"OL4614473W","OL2732067A"
"OL4724446W","OL982044A"
"OL8019252W","OL2669907A"
"OL9384085W","OL3420645A"
"OL12539793W","OL5563154A"
"OL13578665W","OL6440145A"
"OL15568767W","OL6869067A"
"OL16929284W","OL2683687A"
"OL16954837W","OL7207036A"
"OL16968751W","OL7209598A"
"OL3761801W","OL661892A"
"OL3968945W","OL725768A"
"OL4707262W","OL975745A"
"OL4807803W","OL1012460A"
"OL4906784W","OL1050949A"
"OL716849W","OL57437A"
"OL716849W","OL342699A"
"OL8020585W","OL2670449A"
"OL9336120W","OL3381874A"
"OL11617637W","OL4905225A"
"OL11997711W","OL5175202A"
"OL12799925W","OL5757360A"
"OL13624725W","OL6482079A"
"OL16624360W","OL7121195A"
"OL2413430W","OL331948A"
"OL2971020W","OL454195A"
"OL3001447W","OL460428A"
"OL3099648W","OL485958A"
"OL4164882W","OL786813A"
"OL4796940W","OL1009439A"
"OL4876774W","OL1039458A"
"OL6087444W","OL1547653A"
"OL11693869W","OL4954344A"
"OL12305394W","OL5389170A"
"OL13689284W","OL6543790A"
"OL16023139W","OL23251A"
"OL16958974W","OL7207722A"
"OL17892141W","OL226731A"
"OL1961700W","OL235461A"
"OL2814696W","OL418835A"
"OL3275269W","OL534624A"
"OL4455550W","OL887748A"
"OL4458988W","OL888657A"
"OL4780359W","OL1004470A"
"OL5404272W","OL1260856A"
"OL8036728W","OL2675435A"
"OL8210007W","OL2732675A"
"OL8259682W","OL2748339A"
"OL11902647W","OL5104393A"
"OL12345294W","OL5419234A"
"OL16641095W","OL1011358A"
"OL16651713W","OL7131482A"
"OL16651713W","OL7131483A"
"OL16947023W","OL7205519A"
"OL17436483W","OL7313515A"
"OL2710032W","OL396288A"
"OL3515663W","OL588422A"
"OL3637266W","OL621280A"
"OL11995150W","OL5173259A"
"OL13596427W","OL6456300A"
"OL13804724W","OL6643291A"
"OL16926007W","OL7201387A"
"OL16942041W","OL7204365A"
"OL16968517W","OL7209554A"
"OL1845875W","OL220993A"
"OL2024363W","OL244450A"
"OL2720304W","OL398121A"
"OL2728652W","OL399554A"
"OL4525817W","OL909485A"
"OL4627928W","OL949796A"
"OL4782382W","OL1005148A"
"OL5633898W","OL1362167A"
"OL6209856W","OL1602336A"
"OL6441300W","OL1707609A"
"OL9644470W","OL3640215A"
"OL9868063W","OL3851076A"
"OL10493111W","OL4354296A"
"OL11554013W","OL4865567A"
"OL11692018W","OL4953254A"
"OL13015213W","OL5926673A"
"OL13245904W","OL6150986A"
"OL14867233W","OL23197A"
"OL15563543W","OL23704A"
"OL16961072W","OL7208083A"
"OL16980455W","OL3401474A"
"OL2040687W","OL247151A"
"OL2905203W","OL442577A"
"OL3515908W","OL588502A"
"OL4054598W","OL755614A"
"OL4479872W","OL893957A"
"OL4505537W","OL902332A"
"OL4505537W","OL966705A"
"OL455956W","OL26723A"
"OL4902208W","OL1049222A"
"OL8362873W","OL2785480A"
"OL8446126W","OL2816666A"
"OL9078108W","OL3182340A"
"OL9096001W","OL3195572A"
"OL11210778W","OL4688531A"
"OL11672451W","OL4939321A"
"OL11818714W","OL5043787A"
"OL1184402W","OL119677A"
"OL12302122W","OL5386506A"
"OL13207934W","OL6116969A"
"OL13560200W","OL6423511A"
"OL13639210W","OL6495487A"
"OL13642201W","OL6498313A"
"OL13761186W","OL6603114A"
"OL13761991W","OL6603942A"
"OL15174449W","OL6814093A"
"OL16965534W","OL7208986A"
"OL17190401W","OL7244185A"
"OL2002659W","OL241179A"
"OL2625610W","OL382535A"
"OL3298848W","OL539749A"
"OL3477799W","OL579887A"
"OL4072904W","OL761603A"
"OL4876382W","OL1039325A"
"OL5096231W","OL1121905A"
"OL5268720W","OL1191962A"
"OL6005009W","OL1503030A"
"OL8961055W","OL3107663A"
"OL9077630W","OL3181605A"
"OL9830846W","OL3815085A"
"OL12005660W","OL5181395A"
"OL12239597W","OL5337776A"
"OL12372775W","OL5439287A"
"OL13151014W","OL6050210A"
"OL13472177W","OL6348896A"
"OL1640402W","OL182877A"
"OL16861381W","OL7185050A"
"OL16954863W","OL7207042A"
"OL16958737W","OL1665735A"
"OL16972027W","OL7210199A"
"OL16982459W","OL7212281A"
"OL16983092W","OL7212406A"
"OL17043627W","OL7224935A"
"OL4454628W","OL887492A"
"OL4480676W","OL894145A"
"OL4498318W","OL899698A"
"OL5092128W","OL1120705A"
"OL5269447W","OL1192192A"
"OL720032W","OL57775A"
"OL9830818W","OL3815064A"
"OL11262720W","OL1233061A"
"OL11708473W","OL4964533A"
"OL12871310W","OL5812358A"
"OL13151075W","OL6050291A"
"OL16633682W","OL6934885A"
"OL16633682W","OL7124648A"
"OL16928816W","OL399983A"
"OL16937492W","OL7203417A"
"OL16940155W","OL7203975A"
"OL17982611W","OL133220A"
"OL17982611W","OL1865915A"
"OL2665230W","OL388712A"
"OL3656978W","OL627858A"
"OL4161123W","OL785597A"
"OL4206370W","OL801737A"
"OL4240637W","OL814492A"
"OL454451W","OL26035A"
"OL4742643W","OL989066A"
"OL5356456W","OL1233061A"
"OL7940253W","OL2647444A"
"OL804638W","OL527816A"
"OL8226956W","OL2737306A"
"OL8625962W","OL2902494A"
"OL11560775W","OL4869785A"
"OL11718424W","OL4971962A"
"OL12649233W","OL5643475A"
"OL13150266W","OL6049183A"
"OL13614670W","OL6472893A"
"OL16152104W","OL1428052A"
"OL16461361W","OL7065545A"
"OL16643666W","OL6957418A"
"OL16643666W","OL7128304A"
"OL16643666W","OL3185928A"
"OL16916360W","OL7199599A"
"OL16926293W","OL7201425A"
"OL16945584W","OL7205188A"
"OL16946138W","OL3226289A"
"OL16985265W","OL7124657A"
"OL18156630W","OL3408453A"
"OL1837538W","OL220088A"
"OL1889399W","OL226165A"
"OL1927712W","OL231143A"
"OL3709561W","OL645547A"
"OL4294493W","OL833809A"
"OL4464229W","OL890013A"
"OL6608722W","OL1776634A"
"OL8926471W","OL3083907A"
"OL11262678W","OL1233061A"
"OL12918967W","OL5848676A"
"OL13243347W","OL6148629A"
"OL14927264W","OL24672A"
"OL16029951W","OL1426968A"
"OL16633657W","OL7124636A"
"OL16917926W","OL3179554A"
"OL16932138W","OL7202580A"
"OL16960115W","OL7207836A"
"OL16969372W","OL7209721A"
"OL16970734W","OL7209984A"
"OL17550210W","OL5965498A"
"OL17579422W","OL5688947A"
"OL3245958W","OL529456A"
"OL4109981W","OL770694A"
"OL4978866W","OL1075829A"
"OL5090866W","OL1120316A"
"OL5096235W","OL1121906A"
"OL5109988W","OL1125796A"
"OL5420924W","OL1268876A"
"OL6378888W","OL1676717A"
"OL7272291W","OL2125980A"
"OL9092367W","OL3192506A"
"OL11936815W","OL5129465A"
"OL12257247W","OL5351108A"
"OL12337783W","OL5413461A"
"OL12663042W","OL5653588A"
"OL13150336W","OL6049284A"
"OL16011452W","OL6963797A"
"OL16011452W","OL1607106A"
"OL16944307W","OL7204903A"
"OL16976056W","OL7210941A"
"OL16983553W","OL401127A"
"OL1730147W","OL199130A"
"OL1969987W","OL236690A"
"OL2656392W","OL387374A"
"OL3236892W","OL527524A"
"OL3243122W","OL528828A"
"OL3269368W","OL533340A"
"OL3454810W","OL575375A"
"OL4218165W","OL806103A"
"OL4915471W","OL1054261A"
"OL5118073W","OL1127979A"
"OL8131028W","OL2708319A"
"OL8208515W","OL2732067A"
"OL8711176W","OL2951970A"
"OL9830850W","OL3815094A"
"OL11509681W","OL4837805A"
"OL12330998W","OL5408423A"
"OL12698050W","OL5679573A"
"OL13501874W","OL6371484A"
"OL13573152W","OL6434979A"
"OL16661771W","OL7134918A"
"OL16945174W","OL7205106A"
"OL17484621W","OL7212436A"
"OL3344699W","OL542613A"
"OL4505947W","OL902498A"
"OL4788906W","OL1007232A"
"OL5356452W","OL1233061A"
"OL10620115W","OL4418773A"
"OL11235897W","OL4704177A"
"OL12033692W","OL4522350A"
"OL13150253W","OL6049163A"
"OL13361035W","OL6254097A"
"OL13417255W","OL6305156A"
"OL15544038W","OL6924809A"
"OL16615463W","OL7117889A"
"OL16642940W","OL7127966A"
"OL16943616W","OL7073946A"
"OL16944293W","OL7204897A"
"OL17427043W","OL947711A"
"OL17498144W","OL2911682A"
"OL2645848W","OL385652A"
"OL2910025W","OL443308A"
"OL3456209W","OL575676A"
"OL3613330W","OL613901A"
"OL4448191W","OL885598A"
"OL49503W","OL25161A"
"OL5063135W","OL1108458A"
"OL5974684W","OL1484456A"
"OL8003859W","OL2664030A"
"OL8057771W","OL2682648A"
"OL8079612W","OL2689661A"
"OL8131875W","OL2709021A"
"OL8821778W","OL3017322A"
"OL9183659W","OL3252749A"
"OL9198699W","OL3264238A"
"OL11209611W","OL4687768A"
"OL11547681W","OL4861621A"
"OL11674156W","OL4940797A"
"OL12032511W","OL4599023A"
"OL12284259W","OL5372708A"
"OL12397304W","OL5456924A"
"OL13171736W","OL6078350A"
"OL13535800W","OL6402148A"
"OL13593233W","OL6453333A"
"OL15072538W","OL24072A"
"OL16940539W","OL7204064A"
"OL16945248W","OL7204923A"
"OL16955519W","OL7017918A"
"OL4493097W","OL897749A"
"OL4697723W","OL972014A"
"OL4812061W","OL1013801A"
"OL49676W","OL25161A"
"OL5856129W","OL1437734A"
"OL6677402W","OL1804712A"
"OL7941726W","OL2648306A"
"OL9223497W","OL3285016A"
"OL10225521W","OL4188769A"
"OL11234791W","OL4703494A"
"OL15439093W","OL6838569A"
"OL16945414W","OL7205157A"
"OL16946477W","OL7205406A"
"OL17194000W","OL7244796A"
"OL17387507W","OL1859425A"
"OL17896067W","OL6498222A"
"OL2777224W","OL409225A"
"OL5361044W","OL1234402A"
"OL5743772W","OL1396849A"
"OL5878924W","OL1448808A"
"OL9203803W","OL3268364A"
"OL11266306W","OL4722409A"
"OL13354485W","OL6248206A"
"OL15285338W","OL1175818A"
"OL16930703W","OL7202320A"
"OL16961147W","OL7208100A"
"OL17761261W","OL2881296A"
"OL17761261W","OL7395834A"
"OL17761261W","OL725333A"
"OL1958849W","OL235116A"
"OL3149243W","OL500738A"
"OL4275831W","OL828829A"
"OL4812171W","OL1013859A"
"OL4967301W","OL1072277A"
"OL5104952W","OL1124293A"
"OL5356467W","OL1233061A"
"OL5726752W","OL1392549A"
"OL9709980W","OL3701240A"
"OL11674335W","OL4940957A"
"OL11701215W","OL4959337A"
"OL12378627W","OL5443503A"
"OL12663985W","OL5654193A"
"OL12721672W","OL5697522A"
"OL13301806W","OL6201210A"
"OL16887066W","OL7176480A"
"OL16942668W","OL7204538A"
"OL16943612W","OL7204730A"
"OL16945944W","OL7205273A"
"OL17457673W","OL3519442A"
"OL3017329W","OL464152A"
"OL4361951W","OL856714A"
"OL4531109W","OL911462A"
"OL4692363W","OL969964A"
"OL4968925W","OL1072795A"
"OL8003855W","OL2664030A"
"OL8055089W","OL2679805A"
"OL10546315W","OL4378257A"
"OL11547209W","OL4861321A"
"OL12065322W","OL5218244A"
"OL12621180W","OL5624574A"
"OL13531831W","OL6398972A"
"OL16140661W","OL6995023A"
"OL16366177W","OL7054128A"
"OL16941688W","OL1522473A"
"OL16980531W","OL52174A"
"OL16980531W","OL885089A"
"OL16980531W","OL2707369A"
"OL17993541W","OL7432118A"
"OL1974957W","OL237327A"
"OL2105785W","OL260565A"
"OL3571178W","OL602410A"
"OL3950070W","OL720594A"
"OL8206897W","OL2731314A"
"OL8700980W","OL2945217A"
"OL8856102W","OL3039581A"
"OL9198546W","OL3264152A"
"OL9890259W","OL3872458A"
"OL11276667W","OL4728661A"
"OL11878322W","OL5087152A"
"OL12369955W","OL5437355A"
"OL12608474W","OL5615072A"
"OL13539997W","OL6405838A"
"OL13588452W","OL6448748A"
"OL13632207W","OL6488914A"
"OL16119976W","OL6985641A"
"OL16872921W","OL1134858A"
"OL16916564W","OL4040537A"
"OL16953776W","OL7206837A"
"OL2252730W","OL292575A"
"OL2690930W","OL393180A"
"OL2707348W","OL395858A"
"OL3513629W","OL587924A"
"OL4687536W","OL968235A"
"OL4847794W","OL1028161A"
"OL8300963W","OL235116A"
"OL9074986W","OL3178561A"
"OL10080738W","OL4062171A"
"OL11163977W","OL4661109A"
"OL12332350W","OL5409535A"
"OL12592578W","OL5603239A"
"OL12940696W","OL5866150A"
"OL15541151W","OL6865456A"
"OL16463072W","OL5082071A"
"OL16945619W","OL7161927A"
"OL16991584W","OL401127A"
"OL16992307W","OL7117861A"
"OL1718959W","OL196972A"
"OL17909207W","OL7399065A"
"OL2443694W","OL338344A"
"OL3958520W","OL722823A"
"OL4285348W","OL831352A"
"OL5356463W","OL1233061A"
"OL6476629W","OL1718811A"
"OL6830964W","OL1872087A"
"OL7805213W","OL2469803A"
"OL8264855W","OL2749943A"
"OL8625957W","OL2902489A"
"OL8703785W","OL2947517A"
"OL8856089W","OL3039569A"
"OL16295261W","OL7039173A"
"OL16933912W","OL7006221A"
"OL16949706W","OL7206020A"
"OL17440224W","OL1457908A"
"OL186410W","OL2181643A"
"OL2392270W","OL327349A"
"OL3085106W","OL482104A"
"OL4293838W","OL833653A"
"OL5578613W","OL1339054A"
"OL83358W","OL21871A"
"OL8947702W","OL3098149A"
"OL9248435W","OL3305165A"
"OL13257801W","OL6161828A"
"OL13606898W","OL6465944A"
"OL13641680W","OL6497811A"
"OL13674510W","OL6529879A"
"OL16095031W","OL440500A"
"OL16561365W","OL7098194A"
"OL16894520W","OL7193926A"
"OL16942032W","OL7204363A"
"OL16945738W","OL7204981A"
"OL16946308W","OL7077407A"
"OL16967675W","OL7209382A"
"OL3691609W","OL638988A"
"OL3749823W","OL658673A"
"OL4110486W","OL770823A"
"OL4227917W","OL809703A"
"OL4456234W","OL887941A"
"OL11549174W","OL4862542A"
"OL12365036W","OL5433724A"
"OL12365036W","OL6962908A"
"OL12718696W","OL5695138A"
"OL13342290W","OL6237313A"
"OL13644509W","OL6500667A"
"OL15594082W","OL1310009A"
"OL16489646W","OL7073935A"
"OL16917758W","OL7200030A"
"OL16925333W","OL7201297A"
"OL16944930W","OL7034761A"
"OL16946099W","OL7002235A"
"OL16969885W","OL7205101A"
"OL17355892W","OL7290062A"
"OL4742594W","OL989046A"
"OL6337299W","OL1657423A"
"OL11825194W","OL5048407A"
"OL12015666W","OL5186410A"
"OL12617763W","OL5621966A"
"OL1311220W","OL133220A"
"OL13572339W","OL6434206A"
"OL13775170W","OL6616468A"
"OL13815887W","OL6687253A"
"OL15673300W","OL1426968A"
"OL16579278W","OL3245059A"
"OL16579278W","OL764629A"
"OL16941840W","OL6957418A"
"OL2644297W","OL385395A"
"OL9220058W","OL3282112A"
"OL10810914W","OL4517943A"
"OL11674164W","OL4940804A"
